Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
0,3.1288,2.8028,2.60736,2.490128,2.4197952000000003,2.3775968,2.352278016,2.3370867968000004,2.3279720755200004,2.3225032448,2.3192219467776,2.31725316804608,2.3160719008235526,2.3153631404933126,2.3149378842958237,2.3146827305774615,2.3145296383464706,2.314437783007881,2.3143826698047283,2.314349601882837,2.3143297611297022,2.314317856677821
2,1.3022,1.70724,1.950104,2.0957904,2.1831958399999998,2.2356378239999994,2.2671027583999996,2.28598166784,2.297309003264,2.3041054024704,2.30818324158464,2.3106299449712644,2.3120979669868547,2.3129787801929322,2.313507268115923,2.3138243608695865,2.3140146165217583,2.314128769913056,2.314197261947834,2.3142383571687004,2.31426301430122,2.314277808580732
3,1.9189,2.07726,2.172116,2.2289976,2.26312016,2.2835924160000003,2.2958755136000004,2.3032453209600003,2.307667195136,2.3103203175936002,2.3119121906585605,2.3128673144156164,2.313440388653466,2.313784233192899,2.3139905399159035,2.3141143239495747,2.3141885943697513,2.314233156621852,2.3142598939731114,2.3142759363838667,2.31428556183032,2.314291337098192
5,1.4707,1.8083399999999998,2.010764,2.1321864,2.2050334400000002,2.248740384,2.2749642944,2.2906985894400003,2.300139156224,2.3058034942464003,2.3092020966502402,2.3112412580106243,2.3124647548104704,2.3131988528871017,2.313639311732425,2.313903587039488,2.3140621522236993,2.314157291334221,2.3142143748005326,2.3142486248803196,2.314269174928192,2.314281504956915
6,3.0462,2.75324,2.577624,2.4722864,2.4090902400000003,2.3711738240000004,2.3484242304,2.3347745254400003,2.3265847127040002,2.3216708271104003,2.3187224961638404,2.3169534976778245,2.315892098602599,2.31525525916074,2.3148731554962803,2.3146438932977356,2.314506335978635,2.3144238015871794,2.3143742809523076,2.3143445685713844,2.314326741142831,2.3143160446856985
7,0.5814,1.2747600000000001,1.6906160000000001,1.9400976,2.08978016,2.1795884159999996,2.2334731135999997,2.26580388096,2.2852023311360004,2.2968413991936005,2.3038248396185605,2.3080149037916167,2.310528942279066,2.3120373653682593,2.3129424192211196,2.3134854515327046,2.3138112709196292,2.314006762551779,2.3141240575310675,2.3141944345186403,2.314236660711184,2.3142619964267106
8,1.6375,1.90842,2.070812,2.1682152,2.22665072,2.261710752,2.2827465152,2.29536792192,2.302940755712,2.3074844539392,2.31021067246592,2.311846403500032,2.3128278421041153,2.313416705263289,2.3137700231581375,2.313982013894915,2.314109208336956,2.3141855250021752,2.3142313150013054,2.3142587890007835,2.31427527340047,2.314285164040282
10,1.8781,2.0527800000000003,2.1574280000000003,2.2201848,2.2578324800000003,2.280419808,2.2939719488000003,2.30210318208,2.306981911808,2.3099091475968003,2.3116654886604806,2.3127192932167686,2.313351575934157,2.3137309455613138,2.313958567336952,2.314095140402204,2.3141770842413294,2.314226250544799,2.3142557503268795,2.3142734501961275,2.314284070117677,2.314290442070606
11,2.3194,2.3171600000000003,2.315976,2.3152976,2.31489696,2.314657856,2.3145146496000004,2.3144287769600003,2.3143772636160005,2.3143463576576004,2.3143278144921604,2.3143166886748165,2.314310013200794,2.314306007919657,2.3143036047516308,2.3143021628509457,2.314301297710561,2.314300778626335,2.314300467175801,2.3143002803054804,2.314300168183288,2.314300100909973
12,2.4609,2.40206,2.366916,2.3458616,2.3332353599999998,2.325660896,2.3211164736,2.31838987136,2.316753920256,2.3157723516416002,2.31518341088256,2.3148300465090563,2.314618027901338,2.314490816739984,2.3144144900438266,2.314368694026263,2.3143412164157513,2.3143247298494494,2.314314837909669,2.3143089027458013,2.314305341647481,2.3143032049884886
