Node,Value,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0,t > 0
2,1.0853,0.8770749999999999,4.32606875,9.78129375,15.8092625,21.6572123046875,27.00266220703125,31.74269033203125,35.87736688232422,39.450985607910155,42.52351445465088,45.157224227905274,47.41081499004364,49.337168308448796,50.982812285828594,52.388157533168794,53.588045342037084,54.612389194998144,55.48680927794613,56.233217570851,56.870339003609075,57.41416725716577,57.87835927902615,58.27457475350852,58.612767223360834,58.90143326124398,59.14782549336997,59.358134598229114,59.53764473833717,59.69086627275523,59.82164905602094,59.93327915574616,60.028561411737144,60.109889907372235,60.17930812207534,60.23856027536383,60.289135152087624,60.33230350978869,60.369150007969345,60.40060046147288,60.42744510272183,60.45035843729197,60.46991619171062,60.48660977931035,60.500858647608936,60.51302081745817,60.523401878770386,60.5322626688516,60.53982582626887,60.546281384926026,60.551791548906046,60.55649476805393,60.56050921670432,60.56393576296122,60.56686050313683,60.56935692503032,60.571487754401865,60.57330653103672,60.574858954000135,60.576184029884196,60.57731505289783,60.57828044142595,60.579104452077374,60.57980778916277,60.58040812491675,60.58092054353506,60.58135792018411,60.581731244505875,60.58204989674651,60.58232188344692,60.58255403861726,60.58275219545004,60.58292133288653,60.58306570071892,60.583188926371754,60.58329410604554,60.58338388251272,60.58346051152068,60.58352591847023,60.5835817467938,60.583629399248665,60.58367007316309,60.583704790520656,60.583734423638916,60.58375971708748,60.58378130639626,60.58379973402398,60.58381546298809,60.58382888849874,60.58384034788888,60.58385012909018,60.583858477867714,60.58386560399509,60.58387168652527,60.58387687828953,60.58388130973752,60.58388509221498,60.58388832076143,60.583891076498205,60.58389342866668,60.58389543636805
3,-1.2278,-0.07125000000000004,7.286362499999999,14.99216875,21.71505625,27.444074609375,32.317568359375,36.46744658203125,40.00440749511719,43.0207863647461,45.59413431701661,47.78997950897217,49.66392850608826,51.263283003807075,52.62833695168496,53.793443124747284,54.787903323024516,55.63671813401878,56.3612219039239,56.97962213527076,57.5074585721246,57.95799457860119,58.342550834825886,58.67078999496056,58.95095957669799,59.19009924086954,59.394217696367164,59.56844368852385,59.71715487116303,59.84408780353219,59.952431837466094,60.04490925456111,60.12384366727298,60.191218402779754,60.24872633666467,60.29781242859542,60.33971002878297,60.375471867475525,60.4059965061429,60.43205091497286,60.45428974396901,60.47327177186122,60.489473946128825,60.50330336690986,60.515107515907424,60.525182987307346,60.533782940082574,60.5411234589328,60.54738898368613,60.552736943583184,60.557301712886066,60.561197987201815,60.5645236653547,60.567362309218126,60.56978524331244,60.57185334692382,60.57361858377341,60.575125307671584,60.576411376963556,60.57750910576826,60.57844607591146,60.579245829954075,60.57992846272879,60.580511126248176,60.58100846067073,60.58143296215336,60.581795296833164,60.582104568827646,60.58236854898715,60.58259387014734,60.5827861937876,60.58295035228282,60.58309047032302,60.58321006855132,60.58331215202459,60.583399285719324,60.5834736589799,60.583537140528634,60.58359132541979,60.58363757511736,60.58367705170353,60.58371074707751,60.58373950787822,60.583764056757175,60.58378501053605,60.58380289570505,60.58381816165169,60.58383119195221,60.58384231400939,60.58385180727901,60.58385991029148,60.58386682664525,60.583872730122465,60.583877769055455,60.58388207005379,60.58388574118551,60.583888874692434,60.58389154930789,60.583893832234985,60.58389578083515,60.58389744406942
5,0.0831,0.5841999999999999,7.614087499999999,15.15603125,21.7969875,27.485040234375,32.338051171874994,36.47768798828125,40.00952819824219,43.023346716308595,45.59541449279786,47.7906195968628,49.66424855003358,51.26344302577973,52.62841696267128,53.793483130240446,54.7879233257711,55.636728135392076,56.36122690461055,56.97962463561409,57.50745982229626,57.95799520368702,58.342551147368795,58.67079015123201,58.95095965483372,59.190099279937414,59.39421771590111,59.56844369829082,59.717154876046514,59.84408780597393,59.95243183868696,60.04490925517155,60.1238436675782,60.191218402932364,60.24872633674097,60.29781242863358,60.339710028802045,60.37547186748506,60.40599650614766,60.43205091497524,60.45428974397019,60.47327177186181,60.489473946129124,60.50330336691001,60.5151075159075,60.52518298730739,60.533782940082595,60.541123458932816,60.54738898368614,60.552736943583184,60.557301712886066,60.561197987201815,60.5645236653547,60.567362309218126,60.56978524331244,60.57185334692382,60.57361858377341,60.575125307671584,60.576411376963556,60.57750910576826,60.57844607591146,60.579245829954075,60.57992846272879,60.580511126248176,60.58100846067073,60.58143296215336,60.581795296833164,60.582104568827646,60.58236854898715,60.58259387014734,60.5827861937876,60.58295035228282,60.58309047032302,60.58321006855132,60.58331215202459,60.583399285719324,60.5834736589799,60.583537140528634,60.58359132541979,60.58363757511736,60.58367705170353,60.58371074707751,60.58373950787822,60.583764056757175,60.58378501053605,60.58380289570505,60.58381816165169,60.58383119195221,60.58384231400939,60.58385180727901,60.58385991029148,60.58386682664525,60.583872730122465,60.583877769055455,60.58388207005379,60.58388574118551,60.583888874692434,60.58389154930789,60.583893832234985,60.58389578083515,60.58389744406942
7,-1.6627,14.643975,22.697975,28.437943750000002,33.17309296875,37.191062109375,40.6173248046875,43.54136840820313,46.037165234375,48.16748226928711,49.985824700927736,51.53787750320435,52.86263750152588,53.99339089956284,54.958549297809604,55.78236352130175,56.48553294501305,57.08572567382902,57.59802236661762,58.03529500897844,58.408530585077784,58.72710709105058,58.99902915509523,59.23112915843542,59.4292389050411,59.59833615186479,59.742669680680535,59.86586605380221,59.97102073590135,60.060775871400004,60.13738667165613,60.20277807998485,60.25859313828652,60.30623427054958,60.34689852052618,60.381607628970514,60.41123370616808,60.436521144810264,60.458105323802826,60.47652857296515,60.49225379975343,60.50567612039643,60.5171327876909,60.526911664904986,60.535258458707276,60.5423828928578,60.54846397778304,60.553654508439465,60.55808490348023,60.56186648218895,60.565094261517565,60.56784934350759,60.570200953081546,60.57220817740674,60.573921450535195,60.575383820623,60.57663203156975,60.57769744625553,60.57860683457295,60.57938304605466,60.58004558399669,60.58061109550351,60.581093789767564,60.58150579509328,60.58185746363598,60.58215763151297,60.58241384082212,60.58263252914665,60.582819191307536,60.58297851742785,60.58311451077805,60.58323058836322,60.58332966677961,60.583414235497855,60.58348641941405,60.58354803224047,60.58360062207736,60.58364551031095,60.583683824814926,60.583716528289706,60.58374444245149,60.583768268678924,60.58378860563614,60.58380596431492,60.58382078087405,60.583833427598336,60.58384422225272,60.583853436066576,60.583861300548634,60.583868013303956,60.583873742999025,60.58387863359968,60.583882807988445,60.58388637105213,60.58388941231723,60.583892008199356,60.58389422392335,60.58389611516208,60.58389772943531,60.583899107303694,60.58390028338793
9,0.6107,0.758425,4.26674375,9.751631249999999,15.79443125,21.6497966796875,26.998954394531246,31.740836425781247,35.87643992919922,39.45052213134766,42.523282716369636,45.15710835876465,47.410757055473326,49.337139341163635,50.98279780218601,52.38815029134751,53.588041721126444,54.61238738454283,55.48680837271847,56.23321711823717,56.870338777302166,57.41416714401232,57.87835922244942,58.27457472522015,58.61276720921665,58.90143325417189,59.14782548983393,59.358134596461085,59.53764473745316,59.69086627231322,59.82164905579994,59.93327915563566,60.02856141168189,60.10988990734461,60.17930812206153,60.238560275356924,60.28913515208417,60.33230350978696,60.369150007968486,60.40060046147245,60.42744510272162,60.45035843729186,60.46991619171057,60.48660977931033,60.50085864760893,60.51302081745817,60.523401878770386,60.5322626688516,60.53982582626887,60.546281384926026,60.551791548906046,60.55649476805393,60.56050921670432,60.56393576296122,60.56686050313683,60.56935692503032,60.571487754401865,60.57330653103672,60.574858954000135,60.576184029884196,60.57731505289783,60.57828044142595,60.579104452077374,60.57980778916277,60.58040812491675,60.58092054353506,60.58135792018411,60.581731244505875,60.58204989674651,60.58232188344692,60.58255403861726,60.58275219545004,60.58292133288653,60.58306570071892,60.583188926371754,60.58329410604554,60.58338388251272,60.58346051152068,60.58352591847023,60.5835817467938,60.583629399248665,60.58367007316309,60.583704790520656,60.583734423638916,60.58375971708748,60.58378130639626,60.58379973402398,60.58381546298809,60.58382888849874,60.58384034788888,60.58385012909018,60.583858477867714,60.58386560399509,60.58387168652527,60.58387687828953,60.58388130973752,60.58388509221498,60.58388832076143,60.583891076498205,60.58389342866668,60.58389543636805
12,-0.5785,0.07424999999999998,0.49019999999999997,4.13263125,9.684575,15.760903125000002,21.633032617187503,26.99057236328125,31.73664541015625,35.87434442138672,39.44947437744141,42.52275883941651,45.15684642028809,47.41062608623505,49.33707385654449,50.98276505987644,52.38813392019272,53.588033535549044,54.61238329175413,55.48680632632412,56.23321609503999,56.87033826570357,57.41416688821302,57.87835909454977,58.27457466127032,58.612767177241736,58.90143323818443,59.1478254818402,59.358134592464225,59.53764473545473,59.69086627131401,59.82164905530033,59.93327915538586,60.02856141155699,60.10988990728216,60.17930812203031,60.238560275341314,60.28913515207637,60.33230350978306,60.36915000796653,60.40060046147147,60.42744510272112,60.45035843729161,60.46991619171044,60.48660977931026,60.500858647608894,60.51302081745815,60.52340187877037,60.532262668851594,60.53982582626887,60.546281384926026,60.551791548906046,60.55649476805393,60.56050921670432,60.56393576296122,60.56686050313683,60.56935692503032,60.571487754401865,60.57330653103672,60.574858954000135,60.576184029884196,60.57731505289783,60.57828044142595,60.579104452077374,60.57980778916277,60.58040812491675,60.58092054353506,60.58135792018411,60.581731244505875,60.58204989674651,60.58232188344692,60.58255403861726,60.58275219545004,60.58292133288653,60.58306570071892,60.583188926371754,60.58329410604554,60.58338388251272,60.58346051152068,60.58352591847023,60.5835817467938,60.583629399248665,60.58367007316309,60.583704790520656,60.583734423638916,60.58375971708748,60.58378130639626,60.58379973402398,60.58381546298809,60.58382888849874,60.58384034788888,60.58385012909018,60.583858477867714,60.58386560399509,60.58387168652527,60.58387687828953,60.58388130973752,60.58388509221498,60.58388832076143,60.583891076498205,60.58389342866668
13,-2.0055,-0.549675,3.61269375,9.42460625,15.630918750000001,21.5680404296875,26.958076269531247,31.720397363281247,35.86622039794922,39.44541236572266,42.52072783355713,45.1558309173584,47.4101183347702,49.33681998081207,50.98263812201023,52.388070451259615,53.5880018010825,54.612367424520855,55.486798392707485,56.23321212823168,56.87033628229942,57.414165896510944,57.87835859869874,58.27457441334481,58.61276705327898,58.90143317620306,59.14782545084951,59.35813457696888,59.537644727707054,59.69086626744017,59.82164905336341,59.9332791544174,60.02856141107276,60.10988990704004,60.179308121909244,60.23856027528078,60.2891351520461,60.332303509767925,60.369150007958964,60.40060046146769,60.42744510271923,60.45035843729067,60.46991619170997,60.48660977931003,60.50085864760878,60.51302081745809,60.52340187877034,60.53226266885158,60.53982582626886,60.54628138492602,60.55179154890604,60.55649476805392,60.56050921670431,60.56393576296122,60.56686050313683,60.56935692503032,60.571487754401865,60.57330653103672,60.574858954000135,60.576184029884196,60.57731505289783,60.57828044142595,60.579104452077374,60.57980778916277,60.58040812491675,60.58092054353506,60.58135792018411,60.581731244505875,60.58204989674651,60.58232188344692,60.58255403861726,60.58275219545004,60.58292133288653,60.58306570071892,60.583188926371754,60.58329410604554,60.58338388251272,60.58346051152068,60.58352591847023,60.5835817467938,60.583629399248665,60.58367007316309,60.583704790520656,60.583734423638916,60.58375971708748,60.58378130639626,60.58379973402398,60.58381546298809,60.58382888849874,60.58384034788888,60.58385012909018,60.583858477867714,60.58386560399509,60.58387168652527,60.58387687828953,60.58388130973752,60.58388509221498,60.58388832076143,60.583891076498205,60.58389342866668,60.58389543636805
14,-1.1377,-0.0262,0.439975,4.10751875,9.67201875,15.754625,21.6298935546875,26.989002832031247,31.735860644531247,35.87395203857422,39.44927818603516,42.52266074371338,45.15679737243653,47.41060156230927,49.337061594581606,50.982758928894995,52.388130854702,53.588032002803686,54.61238252538145,55.48680594313778,56.233215903446826,56.87033816990699,57.41416684031473,57.878359070600624,58.27457464929575,58.61276717125445,58.90143323519079,59.14782548034337,59.35813459171581,59.53764473508052,59.69086627112691,59.82164905520678,59.93327915533908,60.0285614115336,60.109889907270464,60.17930812202446,60.238560275338386,60.289135152074905,60.33230350978233,60.36915000796617,60.40060046147129,60.42744510272104,60.45035843729157,60.46991619171042,60.48660977931025,60.500858647608894,60.51302081745815,60.52340187877037,60.532262668851594,60.53982582626887,60.546281384926026,60.551791548906046,60.55649476805393,60.56050921670432,60.56393576296122,60.56686050313683,60.56935692503032,60.571487754401865,60.57330653103672,60.574858954000135,60.576184029884196,60.57731505289783,60.57828044142595,60.579104452077374,60.57980778916277,60.58040812491675,60.58092054353506,60.58135792018411,60.581731244505875,60.58204989674651,60.58232188344692,60.58255403861726,60.58275219545004,60.58292133288653,60.58306570071892,60.583188926371754,60.58329410604554,60.58338388251272,60.58346051152068,60.58352591847023,60.5835817467938,60.583629399248665,60.58367007316309,60.583704790520656,60.583734423638916,60.58375971708748,60.58378130639626,60.58379973402398,60.58381546298809,60.58382888849874,60.58384034788888,60.58385012909018,60.583858477867714,60.58386560399509,60.58387168652527,60.58387687828953,60.58388130973752,60.58388509221498,60.58388832076143,60.583891076498205,60.58389342866668
15,0.727,0.90615,7.7750625,15.23651875,21.837231250000002,27.505162109375,32.348112109374995,36.48271845703125,40.01204343261719,43.0246043334961,45.5960433013916,47.79093400115967,49.664405752182006,51.263521626853944,52.62845626320839,53.793502780509,54.787933150905374,55.63673304795921,56.361229360894114,56.97962586375587,57.507460436367154,57.95799551072247,58.34255130088653,58.67079022799088,58.95095969321315,59.19009929912713,59.39421772549596,59.56844370308825,59.71715487844523,59.84408780717329,59.952431839286646,60.04490925547139,60.123843667728124,60.191218403007326,60.248726336778454,60.29781242865232,60.33971002881142,60.37547186748975,60.405996506150004,60.432050914976415,60.45428974397078,60.4732717718621,60.489473946129266,60.50330336691008,60.51510751590753,60.5251829873074,60.5337829400826,60.541123458932816,60.54738898368614,60.552736943583184,60.557301712886066,60.561197987201815,60.5645236653547,60.567362309218126,60.56978524331244,60.57185334692382,60.57361858377341,60.575125307671584,60.576411376963556,60.57750910576826,60.57844607591146,60.579245829954075,60.57992846272879,60.580511126248176,60.58100846067073,60.58143296215336,60.581795296833164,60.582104568827646,60.58236854898715,60.58259387014734,60.5827861937876,60.58295035228282,60.58309047032302,60.58321006855132,60.58331215202459,60.583399285719324,60.5834736589799,60.583537140528634,60.58359132541979,60.58363757511736,60.58367705170353,60.58371074707751,60.58373950787822,60.583764056757175,60.58378501053605,60.58380289570505,60.58381816165169,60.58383119195221,60.58384231400939,60.58385180727901,60.58385991029148,60.58386682664525,60.583872730122465,60.583877769055455,60.58388207005379,60.58388574118551,60.583888874692434,60.58389154930789,60.583893832234985,60.58389578083515,60.58389744406942
16,60.5713,60.6255,60.6015375,60.59115,60.5864234375,60.584808984375,60.584109960937504,60.5839046875,60.5839046875,60.5839046875,60.5839046875,60.5839046875,60.5839046875,60.5839046875,60.5839046875,60.58390535182953,60.583906487321855,60.58390681271553,60.583906975412376,60.58390705676079,60.583907097435,60.58390711777211,60.58390712794066,60.58390713302494,60.583907135567074,60.58390713683814,60.58390713747367,60.58390713779144,60.58390713795033,60.58390713802977,60.58390713806949,60.58390713808935,60.58390713809928,60.583907138104244,60.583907138106724,60.58390713810797,60.583907138108586,60.5839071381089,60.583907138109055,60.58390713810913,60.58390713810917,60.583907138109176,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918,60.58390713810918
